document,topic,gamma
text86,5,0.0627062706270627
text86,6,0.026402640264026403
text86,7,0.07590759075907591
text86,8,0.31683168316831684
text86,9,0.033003300330033
text86,10,0.0627062706270627
text87,1,0.09090909090909091
text87,2,0.04242424242424243
text87,3,0.01616161616161616
text87,4,0.06868686868686869
text87,5,0.08484848484848485
text87,6,0.15757575757575756
text87,7,0.052525252525252523
text87,8,0.044444444444444446
text87,9,0.05858585858585859
text87,10,0.3838383838383838
text88,1,0.01054481546572935
text88,2,0.043936731107205626
text88,3,0.11335676625659051
text88,4,0.05184534270650264
text88,5,0.014938488576449912
text88,6,0.03251318101933216
text88,7,0.2126537785588752
text88,8,0.050966608084358524
text88,9,0.22407732864674867
text88,10,0.2451669595782074
text89,1,0.07063197026022305
text89,2,0.026022304832713755
text89,3,0.055762081784386616
text89,4,0.241635687732342
text89,5,0.12267657992565056
text89,6,0.06319702602230483
text89,7,0.03345724907063197
text89,8,0.048327137546468404
text89,9,0.03717472118959108
text89,10,0.30111524163568776
text90,1,0.027777777777777776
text90,2,0.041666666666666664
text90,3,0.12962962962962962
text90,4,0.037037037037037035
text90,5,0.023148148148148147
text90,6,0.5162037037037037
text90,7,0.0625
text90,8,0.04398148148148148
text90,9,0.03009259259259259
text90,10,0.08796296296296297
text91,1,0.037037037037037035
text91,2,0.04526748971193416
text91,3,0.06584362139917696
text91,4,0.06584362139917696
text91,5,0.0411522633744856
text91,6,0.5390946502057613
text91,7,0.07407407407407407
text91,8,0.05761316872427984
text91,9,0.04526748971193416
text91,10,0.02880658436213992
text92,1,0.053811659192825115
text92,2,0.017937219730941704
text92,3,0.19431988041853512
text92,4,0.014947683109118086
text92,5,0.4678624813153961
text92,6,0.03139013452914798
text92,7,0.02242152466367713
text92,8,0.07623318385650224
text92,9,0.03886397608370702
text92,10,0.08221225710014948
text93,1,0.24285714285714285
text93,2,0.07755102040816327
text93,3,0.15918367346938775
text93,4,0.06326530612244897
text93,5,0.10816326530612246
text93,6,0.044897959183673466
text93,7,0.03877551020408163
text93,8,0.1306122448979592
text93,9,0.08979591836734693
text93,10,0.044897959183673466
text94,1,0.1357142857142857
text94,2,0.08392857142857142
text94,3,0.12678571428571428
text94,4,0.0125
text94,5,0.05714285714285714
text94,6,0.019642857142857142
text94,7,0.014285714285714285
text94,8,0.4732142857142857
text94,9,0.03214285714285714
text94,10,0.044642857142857144
text95,1,0.05393258426966292
text95,2,0.2606741573033708
text95,3,0.029213483146067417
text95,4,0.038202247191011236
text95,5,0.31235955056179776
text95,6,0.04943820224719101
text95,7,0.07415730337078652
text95,8,0.060674157303370786
text95,9,0.0696629213483146
text95,10,0.051685393258426963
text96,1,0.17196261682242991
text96,2,0.048598130841121495
text96,3,0.18317757009345795
text96,4,0.058878504672897194
text96,5,0.04766355140186916
text96,6,0.23738317757009345
text96,7,0.014018691588785047
text96,8,0.03271028037383177
text96,9,0.13551401869158877
text96,10,0.07009345794392523
text97,1,0.09551656920077972
text97,2,0.10331384015594541
text97,3,0.08771929824561403
text97,4,0.08771929824561403
text97,5,0.10331384015594541
text97,6,0.05263157894736842
text97,7,0.08966861598440545
text97,8,0.20857699805068225
text97,9,0.11695906432748537
text97,10,0.05458089668615984
text98,1,0.043478260869565216
text98,2,0.02332979851537646
text98,3,0.12195121951219512
text98,4,0.13467656415694593
text98,5,0.08589607635206786
text98,6,0.016967126193001062
text98,7,0.021208907741251327
text98,8,0.05408271474019088
text98,9,0.37645811240721105
text98,10,0.12195121951219512
text99,1,0.5238095238095238
text99,2,0.03968253968253968
text99,3,0.057539682539682536
text99,4,0.061507936507936505
text99,5,0.037698412698412696
text99,6,0.02976190476190476
text99,7,0.015873015873015872
text99,8,0.08134920634920635
text99,9,0.03571428571428571
text99,10,0.11706349206349206
text100,1,0.04639175257731959
text100,2,0.024054982817869417
text100,3,0.05154639175257732
text100,4,0.5446735395189003
text100,5,0.05154639175257732
text100,6,0.054982817869415807
text100,7,0.03264604810996564
text100,8,0.024054982817869417
text100,9,0.05670103092783505
text100,10,0.1134020618556701
text101,1,0.06018518518518518
text101,2,0.05555555555555555
text101,3,0.05555555555555555
text101,4,0.1574074074074074
text101,5,0.09259259259259259
text101,6,0.05092592592592592
text101,7,0.032407407407407406
text101,8,0.07407407407407407
